team,player,transaction_type,transaction_date,notes,source_url,import_method,imported_at
"ARI","Evan Carter","Signed","2022-03-14","Veteran WR added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"ARI","Isaiah Moore","Released","2022-03-09","Cap move","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"ATL","Miles Johnson","Signed","2022-03-12","Depth CB signing","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"ATL","Jalen Brooks","Re-signed","2022-03-08","Special teams LB retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"BAL","Caleb White","Signed","2022-03-15","Edge rusher added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"BAL","Miles Carter","Released","2022-03-07","Veteran S released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"BUF","Isaiah King","Signed","2022-03-14","Interior OL depth","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"BUF","Evan Lewis","Released","2022-03-10","WR released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CAR","Caleb Turner","Signed","2022-03-12","Slot WR added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CAR","Miles Scott","Re-signed","2022-03-09","Backup OT retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CHI","Evan Moore","Signed","2022-03-15","Veteran safety signed","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CHI","Isaiah Reed","Released","2022-03-11","RB released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CIN","Miles Carter","Signed","2022-03-13","Rotational DT added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CIN","Caleb Moore","Re-signed","2022-03-10","Nickel CB retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CLE","Jalen King","Signed","2022-03-14","TE added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"CLE","Evan Scott","Released","2022-03-08","Veteran RB released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"DAL","Isaiah Lewis","Signed","2022-03-12","Edge depth signing","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"DAL","Miles Turner","Re-signed","2022-03-07","Core special teamer retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"DEN","Caleb Johnson","Signed","2022-03-13","Veteran CB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"DEN","Isaiah White","Released","2022-03-09","DL released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"DET","Evan Carter","Signed","2022-03-14","RB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"DET","Miles Johnson","Re-signed","2022-03-08","Backup QB retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"GB","Caleb Lewis","Signed","2022-03-11","Slot CB signing","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"GB","Evan King","Released","2022-03-07","Veteran TE released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"HOU","Isaiah Moore","Signed","2022-03-12","WR added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"HOU","Miles Carter","Re-signed","2022-03-09","Interior DL retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"IND","Evan Scott","Signed","2022-03-13","LB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"IND","Caleb White","Released","2022-03-10","CB released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"JAX","Miles Turner","Signed","2022-03-14","WR signing","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"JAX","Isaiah King","Re-signed","2022-03-08","Backup S retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"KC","Evan Lewis","Signed","2022-03-12","Rotational edge rusher","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"KC","Miles Johnson","Released","2022-03-07","Veteran OL released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"LV","Caleb Moore","Signed","2022-03-13","CB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"LV","Evan Carter","Re-signed","2022-03-08","WR retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"LAC","Isaiah Reed","Signed","2022-03-14","Safety added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"LAC","Miles Scott","Released","2022-03-09","DL released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"LAR","Evan King","Signed","2022-03-11","OT signing","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"LAR","Caleb Lewis","Re-signed","2022-03-08","CB retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"MIA","Isaiah White","Signed","2022-03-12","Speed WR added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"MIA","Evan Moore","Released","2022-03-07","Veteran LB released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"MIN","Miles Carter","Signed","2022-03-13","Interior OL depth","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"MIN","Isaiah King","Re-signed","2022-03-08","TE retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NE","Evan Scott","Signed","2022-03-14","CB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NE","Caleb Turner","Released","2022-03-10","WR released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NO","Miles Johnson","Signed","2022-03-12","DL depth","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NO","Isaiah Moore","Re-signed","2022-03-08","Backup QB retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NYG","Evan Carter","Signed","2022-03-13","CB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NYG","Miles White","Released","2022-03-09","RB released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NYJ","Isaiah Reed","Signed","2022-03-14","Edge rusher signing","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"NYJ","Caleb Johnson","Re-signed","2022-03-08","Slot WR retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"PHI","Miles Carter","Signed","2022-03-11","Safety added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"PHI","Evan King","Released","2022-03-07","OL released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"PIT","Caleb Moore","Signed","2022-03-12","LB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"PIT","Isaiah White","Re-signed","2022-03-08","Special teamer retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"SEA","Evan Lewis","Signed","2022-03-13","WR added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"SEA","Miles Carter","Released","2022-03-09","CB released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"SF","Isaiah King","Signed","2022-03-14","DL depth","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"SF","Evan Scott","Re-signed","2022-03-08","TE retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"TB","Miles Johnson","Signed","2022-03-11","CB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"TB","Isaiah Moore","Released","2022-03-07","WR released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"TEN","Caleb Lewis","Signed","2022-03-12","RB added","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"TEN","Evan Carter","Re-signed","2022-03-08","OL retained","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"WAS","Isaiah Reed","Signed","2022-03-13","Edge rusher signing","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
"WAS","Miles Scott","Released","2022-03-09","S released","https://www.nfl.com/transactions","manual","2022-03-20T00:00:00Z"
