team,win_total,provider,source_url,observed_at,notes
ARI,4.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
ARI,4.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
ARI,4.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
ARI,4.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
ATL,7.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
ATL,7.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
ATL,7.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
ATL,7.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BAL,11.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BAL,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BAL,11.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BAL,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BUF,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BUF,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BUF,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
BUF,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CAR,6.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CAR,6.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CAR,7.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CAR,6.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CHI,9.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CHI,9.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CHI,9.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CHI,9.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CIN,9.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CIN,9.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CIN,9.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CIN,9.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CLE,6.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CLE,6.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CLE,6.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
CLE,6.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DAL,8.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DAL,8.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DAL,8.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DAL,8.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DEN,9.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DEN,9.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DEN,9.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DEN,9.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DET,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DET,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DET,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
DET,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
GB,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
GB,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
GB,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
GB,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
HOU,9.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
HOU,9.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
HOU,9.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
HOU,9.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
IND,8.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
IND,8.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
IND,7.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
IND,8.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
JAX,9.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
JAX,9.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
JAX,9.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
JAX,9.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
KC,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
KC,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
KC,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
KC,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAC,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAC,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAC,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAC,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAR,11.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAR,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAR,11.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LAR,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LV,5.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LV,5.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LV,5.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
LV,5.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIA,4.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIA,4.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIA,4.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIA,4.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIN,8.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIN,8.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIN,8.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
MIN,8.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NE,9.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NE,9.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NE,9.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NE,9.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NO,7.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NO,7.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NO,7.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NO,7.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYG,7.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYG,7.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYG,7.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYG,7.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYJ,5.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYJ,5.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYJ,5.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
NYJ,5.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PHI,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PHI,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PHI,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PHI,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PIT,8.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PIT,8.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PIT,8.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
PIT,8.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SEA,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
SF,10.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TB,8.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
TEN,6.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,BetMGM,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,Caesars,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,DraftKings,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
WAS,7.5,RiversCasino,https://www.vegasinsider.com/nfl/odds/win-totals/,2026-04-01T17:14:45Z,secondary_source_due_to_primary_block
